Library_Name_s, env_biome_s, env_feature_s, lat, lon
P00007_hudsonmiseq, city, subway, 40.73, 73.99
P00007, city, subway, 40.73, 73.99
P00008_hudsonmiseq, city, park, 40.73, 73.99
P00008, city, park, 40.73, 73.99
P00009_hudsonmiseq, city, park, 40.73, 73.99
P00009, city, park, 40.73, 73.99
P00010_hudsonmiseq, city, park, 40.73, 73.99
P00010, city, park, 40.73, 73.99
P00011_hudsonmiseq, city, park, 40.73, 73.99
P00011, city, park, 40.73, 73.99
P00024_hudsonmiseq, city, park, 40.73, 73.99
P00024, city, park, 40.73, 73.99
P00027_hudsonmiseq, city, subway, 40.74, 73.93
P00027, city, subway, 40.74, 73.93
P00030_hudsonmiseq, city, subway, 40.75, 73.91
P00030, city, subway, 40.75, 73.91
P00031_hudsonmiseq, city, subway, 40.69, 73.96
P00031, city, subway, 40.69, 73.96
P00032_hudsonmiseq, city, subway, 40.74, 73.89
P00032, city, subway, 40.74, 73.89
P00033_hudsonmiseq, city, subway, 40.74, 73.88
P00033, city, subway, 40.74, 73.88
P00034_hudsonmiseq, city, subway, 40.73, 73.87
P00034, city, subway, 40.73, 73.87
P00035_hudsonmiseq, city, subway, 40.72, 73.86
P00035, city, subway, 40.72, 73.86
P00041_hudsonmiseq, city, park, 40.69, 73.97
P00041, city, park, 40.69, 73.97
P00036_hudsonmiseq, city, subway, 40.72, 73.84
P00036, city, subway, 40.72, 73.84
P00042_hudsonmiseq, city, park, 40.69, 73.97
P00042, city, park, 40.69, 73.97
P00046_hiseq, city, subway, 40.76, 73.96
P00046_hudsonmiseq, city, subway, 40.76, 73.96
P00046_miseq, city, subway, 40.76, 73.96
P00047_hiseq, city, subway, 40.75, 73.98
P00047_miseq, city, subway, 40.75, 73.98
P00049_hiseq, city, subway, 40.73, 73.98
P00049_hudsonmiseq, city, subway, 40.73, 73.98
P00049_miseq, city, subway, 40.73, 73.98
P00050_hiseq, city, subway, 40.71, 73.95
P00050_hudsonmiseq, city, subway, 40.71, 73.95
P00050_miseq, city, subway, 40.71, 73.95
P00051_hiseq, city, subway, 40.71, 73.95
P00051_hudsonmiseq, city, subway, 40.71, 73.95
P00051_miseq, city, subway, 40.71, 73.95
P00052_hiseq, city, subway, 40.71, 73.95
P00052_hudsonmiseq, city, subway, 40.71, 73.95
P00052_miseq, city, subway, 40.71, 73.95
P00054_hiseq, city, subway, 40.69, 73.91
P00054_hudsonmiseq, city, subway, 40.69, 73.91
P00054_miseq, city, subway, 40.69, 73.91
P00055_hiseq, city, subway, 40.69, 73.92
P00055_hudsonmiseq, city, subway, 40.69, 73.92
P00055_miseq, city, subway, 40.69, 73.92
P00056_hiseq, city, subway, 40.73, 74.00
P00056_hudsonmiseq, city, subway, 40.73, 74.00
P00056_miseq, city, subway, 40.73, 74.00
P00058_hiseq, city, subway, 40.73, 74.00
P00058_hudsonmiseq, city, subway, 40.73, 74.00
P00058_miseq, city, subway, 40.73, 74.00
P00060_hudsonmiseq, city, subway, 40.73, 73.99
P00060, city, subway, 40.73, 73.99
P00061_hiseq, city, subway, 40.73, 73.99
P00061_hudsonmiseq, city, subway, 40.73, 73.99
P00061_miseq, city, subway, 40.73, 73.99
P00062_hudsonmiseq, city, subway, 40.74, 73.98
P00062, city, subway, 40.74, 73.98
P00063_hudsonmiseq, city, subway, 40.65, 73.96
P00063, city, subway, 40.65, 73.96
P00064, city, subway, 40.65, 73.96
P00066, city, subway, 40.64, 73.96
P00067, city, subway, 40.64, 73.96
P00068_hudsonmiseq, city, subway, 40.63, 73.96
P00068, city, subway, 40.63, 73.96
P00069_hudsonmiseq, city, subway, 40.63, 73.96
P00069, city, subway, 40.63, 73.96
P00070, city, subway, 40.63, 73.96
P00072, city, subway, 40.62, 73.96
